,city,country,coord,id,lat,lng,cur_date,cur_temp,cur_humidity,cur_clouds,cur_wind,max_date,max_temp,max_temp_humidity,max_temp_clouds,max_temp_wind,avg_date0,avg_date1,avg_temp,avg_humidity,avg_clouds,avg_wind
0,chute-aux-outardes,ca,"{'lon': -68.398956, 'lat': 49.116791}",5922281,49.12,-68.4,1505229180,61.84,77,75,8.05,1505325600,67.81,68,0,9.69,1505239200,1505660400,55.31675,78.6,31.7,5.91425
1,jamestown,sh,"{'lon': -5.71675, 'lat': -15.93872}",3370903,-15.94,-5.72,1505230451,68.02,100,48,23.09,1505314800,67.95,100,8,25.19,1505239200,1505660400,67.114,100.0,41.1,22.3515
2,dengzhou,cn,"{'lon': 112.08194, 'lat': 32.68222}",1812990,32.68,112.08,1505230452,69.64,80,0,7.36,1505282400,82.0,66,88,7.43,1505239200,1505660400,73.88875,75.95,14.5,5.123749999999999
3,ilek,ru,"{'lon': 53.38306, 'lat': 51.527088}",557340,51.53,53.38,1505230223,68.92,41,8,11.9,1505304000,78.28,40,0,7.74,1505239200,1505660400,66.09225,62.95,13.2,7.0525
4,airai,pw,"{'lon': 134.5690225, 'lat': 7.396611799999999}",0,7.4,134.57,1505227920,78.8,94,90,3.85,1505325600,82.21,100,48,10.47,1505239200,1505660400,82.34075,100.0,70.4,10.47875
5,cape town,za,"{'lon': 18.42322, 'lat': -33.925838}",3369157,-33.93,18.42,1505228400,64.4,55,0,8.05,1505304000,61.0,87,48,13.11,1505239200,1505660400,59.36274999999999,92.925,33.9,17.051750000000002
6,dunshaughlin,ie,"{'lon': -6.54, 'lat': 53.512501}",2964472,53.51,-6.54,1505230200,53.6,81,75,9.17,1505304000,57.04,81,36,17.58,1505239200,1505660400,51.9005,88.125,56.3,14.32875
7,methoni,gr,"{'lon': 21.704861, 'lat': 36.819729}",257122,36.82,21.7,1505227800,84.2,37,40,4.7,1505239200,82.04,97,8,21.63,1505239200,1505660400,78.2595,97.6,5.3,18.88625
8,chuy,uy,"{'lon': -53.46162, 'lat': -33.697071}",3443061,-33.7,-53.46,1505230650,60.64,100,8,4.9,1505239200,62.13,100,12,4.63,1505239200,1505660400,58.105,94.45,69.4,12.929750000000002
9,hobart,au,"{'lon': 147.329407, 'lat': -42.87936}",2163355,-42.88,147.33,1505228400,41.0,100,75,3.36,1505271600,54.09,80,76,7.18,1505239200,1505660400,45.866,72.55,57.9,8.672
11,naze,jp,"{'lon': 129.483337, 'lat': 28.366671}",1855540,28.37,129.48,1505230651,84.67,97,92,14.41,1505239200,81.12,100,100,15.37,1505239200,1505660400,82.81424999999999,98.625,75.1,20.41875
12,pevek,ru,"{'lon': 170.313324, 'lat': 69.700829}",2122090,69.7,170.31,1505230652,36.16,100,88,18.39,1505282400,38.44,100,44,20.07,1505239200,1505660400,37.065250000000006,100.0,78.2,19.7785
13,albany,au,"{'lon': 118.123451, 'lat': -34.7099}",7839657,-34.71,118.12,1505230652,48.85,78,12,6.35,1505282400,62.65,69,0,6.76,1505239200,1505660400,58.327749999999995,73.45,35.9,8.882249999999999
15,saldanha,za,"{'lon': 17.944201, 'lat': -33.011669}",3361934,-33.01,17.94,1505228400,62.6,55,64,10.29,1505304000,61.72,76,20,9.19,1505239200,1505660400,59.96475,76.1,24.4,14.181000000000001
16,hualmay,pe,"{'lon': -77.613892, 'lat': -11.09639}",3939761,-11.1,-77.61,1505230653,65.5,72,24,5.53,1505239200,68.52,65,24,6.76,1505239200,1505660400,59.1375,85.75,41.9,5.2524999999999995
17,hilo,us,"{'lon': -155.089996, 'lat': 19.729719}",5855927,19.73,-155.09,1505228160,63.48,78,90,4.7,1505282400,79.02,100,44,9.66,1505239200,1505660400,77.28625000000001,100.0,50.1,10.37125
18,kenai,us,"{'lon': -151.258331, 'lat': 60.55444}",5866063,60.55,-151.26,1505228160,35.53,93,1,4.7,1505250000,55.64,67,36,5.17,1505239200,1505660400,50.107749999999996,89.925,81.6,7.26575
19,illoqqortoormiut,gl,"{'lon': -21.9628757, 'lat': 70.48556909999999}",0,70.49,-21.96,1505230655,37.15,95,0,15.86,1505314800,38.52,90,64,16.58,1505239200,1505660400,37.189,93.075,37.0,11.236
20,samusu,ws,"{'lon': -171.4299586, 'lat': -14.0056774}",0,-14.01,-171.43,1505230655,82.33,100,92,15.64,1505271600,83.25,98,56,15.57,1505239200,1505660400,81.8715,99.8,52.5,18.991999999999997
21,colares,pt,"{'lon': -9.46305, 'lat': 38.802059}",8012548,38.8,-9.46,1505228400,78.96,44,0,19.46,1505239200,72.9,92,0,20.4,1505239200,1505660400,64.49525000000001,95.125,9.6,21.470000000000002
23,busselton,au,"{'lon': 115.370796, 'lat': -33.684769}",7839477,-33.68,115.37,1505230657,52.81,100,0,7.25,1505293200,59.96,100,0,3.49,1505239200,1505660400,60.46725,95.975,36.3,11.626999999999999
25,tiznit,ma,"{'lon': -9.5, 'lat': 29.58333}",2527087,29.58,-9.5,1505230657,80.98,64,0,2.33,1505314800,85.41,55,8,3.49,1505239200,1505660400,72.77725000000001,72.875,51.3,2.311
28,kungurtug,ru,"{'lon': 97.522781, 'lat': 50.599442}",1501377,50.6,97.52,1505230658,41.47,73,20,2.39,1505271600,60.39,44,44,5.73,1505239200,1505660400,39.55575,59.025,28.6,4.491249999999999
